target,timestamp,time,realTime
"http://curiosiphi:3000/watDiv_100",781,372,371
"http://curiosiphi:3001/watDiv_100",784,373,373
"http://curiosiphi:3002/watDiv_100",785,374,374
"http://curiosiphi:3000/watDiv_100",1113,317,317
"http://curiosiphi:3001/watDiv_100",1116,319,319
"http://curiosiphi:3001/watDiv_100",1435,317,317
"http://curiosiphi:3002/watDiv_100",1757,311,311
"http://curiosiphi:3001/watDiv_100",1758,313,313
"http://curiosiphi:3002/watDiv_100",1760,319,319
"http://curiosiphi:3000/watDiv_100",1761,318,318
"http://curiosiphi:3001/watDiv_100",2078,308,308
"http://curiosiphi:3001/watDiv_100",2081,314,314
"http://curiosiphi:3002/watDiv_100",2084,313,313
"http://curiosiphi:3002/watDiv_100",2086,314,314
"http://curiosiphi:3001/watDiv_100",2403,309,309
"http://curiosiphi:3001/watDiv_100",2404,310,309
"http://curiosiphi:3000/watDiv_100",2408,312,312
"http://curiosiphi:3000/watDiv_100",2410,314,314
"http://curiosiphi:3002/watDiv_100",2722,310,309
"http://curiosiphi:3001/watDiv_100",2731,312,312
"http://curiosiphi:3000/watDiv_100",2732,311,308
"http://curiosiphi:3001/watDiv_100",2735,309,309
"http://curiosiphi:3000/watDiv_100",3034,308,308
"http://curiosiphi:3002/watDiv_100",3048,313,313
"http://curiosiphi:3002/watDiv_100",3049,312,312
"http://curiosiphi:3001/watDiv_100",3050,311,311
"http://curiosiphi:3000/watDiv_100",3357,319,319
"http://curiosiphi:3002/watDiv_100",3364,310,310
"http://curiosiphi:3001/watDiv_100",3365,309,309
"http://curiosiphi:3002/watDiv_100",3366,311,311
"http://curiosiphi:3000/watDiv_100",3674,312,312
"http://curiosiphi:3000/watDiv_100",3680,309,309
"http://curiosiphi:3001/watDiv_100",3686,311,311
"http://curiosiphi:3001/watDiv_100",3687,314,314
"http://curiosiphi:3002/watDiv_100",3984,308,308
"http://curiosiphi:3000/watDiv_100",3992,309,308
"http://curiosiphi:3001/watDiv_100",3999,307,307
"http://curiosiphi:3002/watDiv_100",4000,309,309
"http://curiosiphi:3001/watDiv_100",4294,309,309
"http://curiosiphi:3001/watDiv_100",4302,309,309
"http://curiosiphi:3001/watDiv_100",4310,307,307
"http://curiosiphi:3000/watDiv_100",4311,308,308
"http://curiosiphi:3000/watDiv_100",4606,310,310
"http://curiosiphi:3001/watDiv_100",4611,308,308
"http://curiosiphi:3002/watDiv_100",4624,312,312
"http://curiosiphi:3002/watDiv_100",4625,312,312
"http://curiosiphi:3001/watDiv_100",4916,308,307
"http://curiosiphi:3001/watDiv_100",4922,309,309
"http://curiosiphi:3001/watDiv_100",4944,309,309
"http://curiosiphi:3002/watDiv_100",4946,308,308
"http://curiosiphi:3001/watDiv_100",5226,309,309
"http://curiosiphi:3002/watDiv_100",5231,307,307
"http://curiosiphi:3001/watDiv_100",5255,307,307
"http://curiosiphi:3002/watDiv_100",5541,308,308
"http://curiosiphi:3002/watDiv_100",5557,308,612
"http://curiosiphi:3002/watDiv_100",5838,308,611
"http://curiosiphi:3001/watDiv_100",5874,315,315
"http://curiosiphi:3001/watDiv_100",5881,322,322
"http://curiosiphi:3001/watDiv_100",6164,309,309
"http://curiosiphi:3001/watDiv_100",6168,329,329
"http://curiosiphi:3001/watDiv_100",6186,309,309
"http://curiosiphi:3002/watDiv_100",6194,310,309
"http://curiosiphi:3002/watDiv_100",6477,308,308
"http://curiosiphi:3001/watDiv_100",6477,307,307
"http://curiosiphi:3002/watDiv_100",6500,310,309
"http://curiosiphi:3002/watDiv_100",6506,308,308
"http://curiosiphi:3001/watDiv_100",6787,308,308
"http://curiosiphi:3001/watDiv_100",6788,309,309
"http://curiosiphi:3001/watDiv_100",6809,307,307
"http://curiosiphi:3001/watDiv_100",6814,307,307
"http://curiosiphi:3002/watDiv_100",7106,316,316
"http://curiosiphi:3002/watDiv_100",7107,317,317
"http://curiosiphi:3001/watDiv_100",7126,311,310
"http://curiosiphi:3002/watDiv_100",7134,312,312
"http://curiosiphi:3002/watDiv_100",7421,313,313
"http://curiosiphi:3001/watDiv_100",7425,316,316
"http://curiosiphi:3002/watDiv_100",7442,307,307
"http://curiosiphi:3001/watDiv_100",7445,315,315
"http://curiosiphi:3001/watDiv_100",7732,308,308
"http://curiosiphi:3001/watDiv_100",7735,308,308
"http://curiosiphi:3001/watDiv_100",7759,308,308
"http://curiosiphi:3002/watDiv_100",7764,308,308
"http://curiosiphi:3001/watDiv_100",8041,308,308
"http://curiosiphi:3002/watDiv_100",8044,308,308
"http://curiosiphi:3001/watDiv_100",8066,306,306
"http://curiosiphi:3001/watDiv_100",8073,308,308
"http://curiosiphi:3002/watDiv_100",8352,309,309
"http://curiosiphi:3001/watDiv_100",8354,309,309
"http://curiosiphi:3001/watDiv_100",8375,307,307
"http://curiosiphi:3001/watDiv_100",8383,308,308
"http://curiosiphi:3001/watDiv_100",8665,307,307
"http://curiosiphi:3002/watDiv_100",8665,307,307
"http://curiosiphi:3001/watDiv_100",8684,308,308
"http://curiosiphi:3002/watDiv_100",8695,308,308
"http://curiosiphi:3001/watDiv_100",8702,314,314
"http://curiosiphi:3001/watDiv_100",8974,308,308
"http://curiosiphi:3002/watDiv_100",8979,312,312
"http://curiosiphi:3001/watDiv_100",8991,306,306
"http://curiosiphi:3002/watDiv_100",9011,312,312
"http://curiosiphi:3002/watDiv_100",9287,312,312
"http://curiosiphi:3002/watDiv_100",9292,311,311
"http://curiosiphi:3002/watDiv_100",9300,307,307
"http://curiosiphi:3002/watDiv_100",9323,308,308
"http://curiosiphi:3002/watDiv_100",9596,308,308
"http://curiosiphi:3001/watDiv_100",9601,308,308
"http://curiosiphi:3002/watDiv_100",9608,307,307
"http://curiosiphi:3001/watDiv_100",9632,307,307
"http://curiosiphi:3002/watDiv_100",9906,308,308
"http://curiosiphi:3001/watDiv_100",9910,308,308
